"","District","Epiweek","Epiyear","DISTCODE","SQKM","Province","Region","u5total","XCOORD","YCOORD","cases","IRSyear","IRSepiWeek","raint","tavg","rh","sd","psfc"
"33","GILE",48,2013,404,8977375.699,"ZAMBEZIA","Center",32764,38.306652,-15.927919,1338,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"34","GONDOLA",4,2013,603,5770145.38,"MANICA","Center",57951,33.667423,-19.150656,500,NA,NA,51.15,23.6557142857143,92.0785714285714,1.72285714285714,943.651428571429
"35","GOVURO",4,2014,803,3966939.958,"INHAMBANE","Coastal",6401,34.676044,-21.31853,175,2013,25,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"36","GUIJA",8,2013,907,4190749.591,"GAZA","Southern",14409,33.121402,-24.167199,664,NA,NA,1.56,22.6414285714286,89.9128571428571,2.08,942.087142857143
"37","GURO",20,2012,604,6929897.308,"MANICA","Center",17683,33.538423,-16.972208,576,NA,NA,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"38","GURUE",48,2013,405,5643669.328,"ZAMBEZIA","Center",58997,36.947449,-15.349169,1490,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"39","HOMOINE",4,2014,804,1917019.079,"INHAMBANE","Coastal",19961,35.041381,-23.875821,500,2013,26,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"40","IBO",16,2015,205,73855.05803,"CABO DELGADO","Coastal",1546,40.594305,-12.325143,104,NA,NA,0,22.1957142857143,84.7257142857143,2.99857142857143,948.055714285714
"41","ILE",48,2013,406,5634698.446,"ZAMBEZIA","Center",55700,37.466093,-16.180379,3419,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"44","INHARRIME",28,2013,805,2747506.451,"INHAMBANE","Coastal",20245,34.771523,-24.400397,545,2013,27,0,16.0128571428571,86.41,1.82142857142857,953.105714285714
"45","INHASSORO",4,2014,806,4744845.876,"INHAMBANE","Coastal",9329,34.859112,-21.750166,467,2013,28,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"47","JANGAMO",4,2014,807,1292682.407,"INHAMBANE","Coastal",17893,35.271278,-24.163026,639,NA,NA,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"48","LAGO",32,2013,103,6592964.093,"NIASSA","Northern",18169,34.990049,-12.303186,866,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"49","LALAUA",32,2015,305,4531643.842,"NAMPULA","Northern",15580,38.126726,-14.43637,1544,2015,33,0,18.0657142857143,70.85,4.48,952.845714285714
"50","LALAUA",44,2015,305,4531643.842,"NAMPULA","Northern",15580,38.126726,-14.43637,2051,2016,32,0.59,25.6357142857143,57.8542857142857,10.6742857142857,945.054285714286
"51","LICHINGA",24,2014,104,5417534.532,"NIASSA","Northern",23326,35.290601,-13.394913,696,NA,NA,0,17.4685714285714,89.9271428571429,1.50428571428571,951.678571428571
"52","LUGELA",8,2011,408,6127749.023,"ZAMBEZIA","Center",23004,36.653583,-16.305629,1147,NA,NA,52.37,22.2885714285714,93.2128571428571,1.35285714285714,943.138571428571
"53","MABALANE",48,2012,908,8929135.67,"GAZA","Southern",6102,32.737941,-23.478867,550,NA,NA,1.84,24.1485714285714,71.0742857142857,6.79428571428571,946.451428571429
"54","MABOTE",24,2013,808,15334946.92,"INHAMBANE","Southern",8248,33.80151,-22.002786,56,NA,NA,0,17.8257142857143,86.8442857142857,1.98571428571429,951.508571428571
"55","MACANGA",16,2013,507,7196612.003,"TETE","Center",33592,33.534856,-14.801614,281,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
"56","MACHANGA",28,2012,709,5716211.441,"SOFALA","Coastal",10302,34.522237,-20.91189,268,2013,18,0,16.8071428571429,80.3042857142857,2.77428571428571,951.628571428571
"57","MACHAZE",44,2013,605,13296123.6,"MANICA","Center",22122,33.271271,-21.042521,311,NA,NA,0.52,25.83,55.61,11.3085714285714,945.111428571429
"58","MACOMIA",12,2015,206,4191191.67,"CABO DELGADO","Coastal",13237,40.190878,-12.063145,389,NA,NA,0.17,22.9157142857143,87.9214285714286,2.48714285714286,947.835714285714
"59","MACOSSA",20,2012,606,9563484.542,"MANICA","Center",8351,33.789389,-17.910235,261,NA,NA,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"60","MAGANJA DA COSTA",16,2011,409,7633938.21,"ZAMBEZIA","Coastal",49202,37.62383,-17.10781,1281,NA,NA,0,21.3042857142857,91.6728571428571,1.54857142857143,947.375714285714
"61","MAGOE",16,2013,508,8553520.497,"TETE","Center",14323,31.36315,-15.901696,116,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
"62","MAGUDE",20,2013,1003,6965850.279,"MAPUTO","Southern",7514,32.438971,-24.701493,139,NA,NA,0,18.8371428571429,89.0328571428571,1.74571428571429,952.028571428571
"63","MAJUNE",32,2013,105,11298174.76,"NIASSA","Northern",6255,36.37365,-13.320555,91,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"64","MALEMA",32,2015,306,6053157.406,"NAMPULA","Northern",38440,37.390486,-14.798173,799,2015,44,0,18.0657142857143,70.85,4.48,952.845714285714
"65","MALEMA",44,2016,306,6053157.406,"NAMPULA","Northern",33945,37.390486,-14.798173,870,2016,34,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
