"","Estimate","Lower","Upper","Pr(>|z|)"
"Intercept",19.595,19.026,20.164,0
"ITN Decay",0.037,0.028,0.046,0
"IRS Decay",-0.054,-0.062,-0.047,0
"Temperatue",0.017,0.017,0.018,0
"Rainfall",0.001,0.001,0.001,0
"Relative Humididy",0,0,0,0.009
"Barometric Pressure",-0.025,-0.025,-0.024,0
